uniprot_domain_id_1	uniprot_domain_id_2	uniprot_domain_pair_id
5780	28883	399
5782	28883	400
5784	28883	401
5786	28883	402
5788	28883	403
5790	28883	404
5792	28883	405
5794	28883	406
5796	28883	407
5798	28883	408
5800	28883	409
5802	28883	410
5804	28883	411
5806	28883	412
5808	28883	413
5810	28883	414
5812	28883	415
5814	28883	416
5816	28883	417
5818	28883	418
5820	28883	419
5822	28883	420
5831	28883	421
5832	28883	422
27899	4918	423
6447	12517	424
32730	9852	425
32731	9853	426
5117	19415	427
9880	12035	428
30672	14091	429
12500	16648	430
2707	21464	431
2708	21464	432
26937	26937	433
13846	28517	434
15155	14606	435
2122	23877	436
14198	11796	437
27148	25982	438
25982	27149	439
27265	10021	440
23104	5651	441
23105	5651	442
32535	518	443
32536	518	444
32537	518	445
18030	10704	446
18031	10705	447
29538	863	448
17423	19353	449
19351	17424	450
19352	17424	451
17424	19353	452
27910	3517	453
15061	15061	454
17327	31396	455
17327	31397	456
17327	31398	457
17328	31395	458
31396	17328	459
17328	31397	460
31398	17328	461
31396	17329	462
31397	17329	463
31398	17329	464
16988	2382	465
13999	26562	466
29906	21966	467
21966	29907	468
21966	29908	469
15589	7231	470
27085	14353	471
28632	4466	472
2643	16788	473
8498	1063	474
8899	10780	475
8899	10781	476
10780	8900	477
8900	10781	478
17382	26046	479
17384	26046	480
17385	26046	481
15155	29741	482
14629	12487	483
14629	12488	484
12487	14630	485
14630	12488	486
21748	21748	487
7651	7651	488
8099	8099	489
8102	8102	490
12719	3197	491
17066	3885	492
17067	3885	493
31394	15361	494
31395	15361	495
22117	22117	496
19351	6268	497
19352	6268	498
19351	6270	499
6270	19352	500
6270	19353	501
19351	6271	502
6271	19352	503
6271	19353	504
15278	32976	505
30390	663	506
30457	3927	507
30458	3927	508
30459	3928	509
3928	30460	510
30461	3928	511
26997	33424	512
26998	33424	513
17143	31710	514
23901	23901	515
24921	24921	516
8613	16300	517
19548	19548	518
19549	19549	519
19549	19550	520
19550	19550	521
